movie,director,movie_year,critic,critic_country,critic_org,Bechdel_test,director_gender
Frozen River,Courtney Hunt,2008,Thelma Adams,US,Freelance film critic,pass,
Gosford Park,Robert Altman,2001,Thelma Adams,US,Freelance film critic,pass,M
In the Mood for Love,Wong Kar-wai,2000,Arturo Aguilar,Mexico,Rolling Stone Mexico,,M
Mulholland Drive,David Lynch,2001,Arturo Aguilar,Mexico,Rolling Stone Mexico,,M
Inception,Christopher Nolan,2010,Arturo Aguilar,Mexico,Rolling Stone Mexico,pass,M
Pan's Labyrinth,Guillermo Del Toro,2006,Arturo Aguilar,Mexico,Rolling Stone Mexico,,
Caché,Michael Haneke,2005,Arturo Aguilar,Mexico,Rolling Stone Mexico,,M
Grizzly Man,Werner Herzog,2005,Arturo Aguilar,Mexico,Rolling Stone Mexico,,M
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Arturo Aguilar,Mexico,Rolling Stone Mexico,,
Holy Motors,Leos Carax,2012,Arturo Aguilar,Mexico,Rolling Stone Mexico,nopass,
The Last of the Unjust,Claude Lanzmann,2013,Arturo Aguilar,Mexico,Rolling Stone Mexico,,
There Will Be Blood,Paul Thomas Anderson,2007,Arturo Aguilar,Mexico,Rolling Stone Mexico,nopass,M
The Piano Teacher,Michael Haneke,2001,Matthew Anderson,UK,BBC Culture,pass,M
Margaret,Kenneth Lonergan,2011,Matthew Anderson,UK,BBC Culture,pass,M
American Psycho,Mary Harron,2000,Matthew Anderson,UK,BBC Culture,pass,
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Matthew Anderson,UK,BBC Culture,,
Caché,Michael Haneke,2005,Matthew Anderson,UK,BBC Culture,,M
Mulholland Drive,David Lynch,2001,Matthew Anderson,UK,BBC Culture,,M
Lourdes,Jessica Hausner,2009,Matthew Anderson,UK,BBC Culture,pass,
Red Road,Andrea Arnold,2006,Matthew Anderson,UK,BBC Culture,pass,
Boyhood,Richard Linklater,2014,Matthew Anderson,UK,BBC Culture,pass,M
Tony Manero,Pablo Larraín,2008,Matthew Anderson,UK,BBC Culture,,
No Country For Old Men,Joel and Ethan Coen,2007,Tim Appelo,US,The Wrap,,M
Spirited Away,Hayao Miyazaki,2001,Tim Appelo,US,The Wrap,pass,M
A Separation,Asghar Farhadi,2011,Tim Appelo,US,The Wrap,pass,M
Pan's Labyrinth,Guillermo Del Toro,2006,Tim Appelo,US,The Wrap,,
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,Tim Appelo,US,The Wrap,nopass,
Hero,Zhang Yimou,2002,Tim Appelo,US,The Wrap,,
The Wolf of Wall Street,Martin Scorsese,2013,Tim Appelo,US,The Wrap,pass,M
Mother,Bong Joon-ho,2009,Tim Appelo,US,The Wrap,,
The Bourne Ultimatum,Paul Greengrass,2007,Tim Appelo,US,The Wrap,nopass,M
Traffic,Steven Soderbergh,2000,Tim Appelo,US,The Wrap,pass,M
These Encounters of Theirs,Danièle Huillet and Jean-Marie Straub,2006,Adriano Aprà,Italy,Film historian,,
Vincere,Marco Bellocchio,2009,Adriano Aprà,Italy,Film historian,,M
Le quattro volte,Michelangelo Frammartino,2010,Adriano Aprà,Italy,Film historian,,
The Profession of Arms,Ermanno Olmi,2001,Adriano Aprà,Italy,Film historian,,
Gostanza da Libbiano,Paolo Benvenuti,2000,Adriano Aprà,Italy,Film historian,,
Storia di una donna amata e di un assassino gentile,Luigi M. Faccini,2009,Adriano Aprà,Italy,Film historian,,
At the First Breath of Wind,Franco Piavoli,2003,Adriano Aprà,Italy,Film historian,,
Sangue,Pippo Delbono,2013,Adriano Aprà,Italy,Film historian,,
Terra,Marco De Angelis and Antonio Di Trapani,2015,Adriano Aprà,Italy,Film historian,,
Oh! Man,Yervant Gianikian and Angela Ricci Lucchi,2004,Adriano Aprà,Italy,Film historian,,
"Synecdoche, New York",Charlie Kaufman,2008,Michael Arbeiter,US,Nerdist,pass,
Mulholland Drive,David Lynch,2001,Michael Arbeiter,US,Nerdist,,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Arbeiter,US,Nerdist,nopass,M
Black Swan,Darren Aronofsky,2010,Michael Arbeiter,US,Nerdist,pass,M
The Comedy,Rick Alverson,2012,Michael Arbeiter,US,Nerdist,,
Melancholia,Lars von Trier,2011,Michael Arbeiter,US,Nerdist,pass,M
Inglourious Basterds,Quentin Tarantino,2009,Michael Arbeiter,US,Nerdist,pass,M
Inside Llewyn Davis,Joel and Ethan Coen,2013,Michael Arbeiter,US,Nerdist,nopass,M
Only Lovers Left Alive,Jim Jarmusch,2013,Michael Arbeiter,US,Nerdist,pass,M
The Congress,Ari Folman,2013,Michael Arbeiter,US,Nerdist,pass,
The Master,Paul Thomas Anderson,2012,Ali Arikan,Turkey,Dipnot TV,nopass,M
25th Hour,Spike Lee,2002,Ali Arikan,Turkey,Dipnot TV,nopass,M
24 Hour Party People,Michael Winterbottom,2002,Ali Arikan,Turkey,Dipnot TV,nopass,M
Mulholland Drive,David Lynch,2001,Ali Arikan,Turkey,Dipnot TV,,M
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Ali Arikan,Turkey,Dipnot TV,,
Zodiac,David Fincher,2007,Ali Arikan,Turkey,Dipnot TV,nopass,M
A Serious Man,Joel and Ethan Coen,2009,Ali Arikan,Turkey,Dipnot TV,nopass,M
Tinker Tailor Soldier Spy,Tomas Alfredson,2011,Ali Arikan,Turkey,Dipnot TV,nopass,M
Primer,Shane Carruth,2004,Ali Arikan,Turkey,Dipnot TV,nopass,
In the Mood for Love,Wong Kar-wai,2000,Ali Arikan,Turkey,Dipnot TV,,M
"La commune (Paris, 1871)","Paris, 1871) (Peter Watkins",1871,Michael Atkinson,US,The Village Voice,,
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Michael Atkinson,US,The Village Voice,pass,M
2046,Wong Kar-wai,2004,Michael Atkinson,US,The Village Voice,pass,M
Adaptation,Spike Jonze,2002,Michael Atkinson,US,The Village Voice,pass,M
Battle in Heaven,Carlos Reygadas,2005,Michael Atkinson,US,The Village Voice,,
Caché,Michael Haneke,2005,Michael Atkinson,US,The Village Voice,,M
Inland Empire,David Lynch,2006,Michael Atkinson,US,The Village Voice,pass,M
Mulholland Drive,David Lynch,2001,Michael Atkinson,US,The Village Voice,,M
Mysteries of Lisbon,Raoul Ruiz,2010,Michael Atkinson,US,The Village Voice,pass,
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Atkinson,US,The Village Voice,nopass,M
There Will Be Blood,Paul Thomas Anderson,2007,Ana Maria Bahiana,Brazil,Freelance film critic,nopass,M
Mulholland Drive,David Lynch,2001,Ana Maria Bahiana,Brazil,Freelance film critic,,M
Children of Men,Alfonso Cuarón,2006,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
City of God,Fernando Meirelles and Kátia Lund,2002,Ana Maria Bahiana,Brazil,Freelance film critic,nopass,
Pan's Labyrinth,Guillermo Del Toro,2006,Ana Maria Bahiana,Brazil,Freelance film critic,,
Inception,Christopher Nolan,2010,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
The Incredibles,Brad Bird,2004,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
Birdman,Alejandro González Iñárritu,2014,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
No Country For Old Men,Joel and Ethan Coen,2007,Ana Maria Bahiana,Brazil,Freelance film critic,,M
Brokeback Mountain,Ang Lee,2005,Ana Maria Bahiana,Brazil,Freelance film critic,nopass,M
In the Mood for Love,Wong Kar-wai,2000,Cameron Bailey,Canada,Toronto Film Festival,,M
12 Years a Slave,Steve McQueen,2013,Cameron Bailey,Canada,Toronto Film Festival,pass,M
Spirited Away,Hayao Miyazaki,2001,Cameron Bailey,Canada,Toronto Film Festival,pass,M
Fish Tank,Andrea Arnold,2009,Cameron Bailey,Canada,Toronto Film Festival,pass,
Mommy,Xavier Dolan,2014,Cameron Bailey,Canada,Toronto Film Festival,pass,
Talk to Her,Pedro Almodóvar,2002,Cameron Bailey,Canada,Toronto Film Festival,,M
Timbuktu,Abderrahmane Sissako,2014,Cameron Bailey,Canada,Toronto Film Festival,,
Selma,Ava DuVernay,2014,Cameron Bailey,Canada,Toronto Film Festival,pass,
The White Ribbon,Michael Haneke,2009,Cameron Bailey,Canada,Toronto Film Festival,,M
The Headless Woman,Lucrecia Martel,2008,Cameron Bailey,Canada,Toronto Film Festival,,F
The Royal Tenenbaums,Wes Anderson,2001,Lindsay Baker,UK,BBC Culture,pass,M
Far From Heaven,Todd Haynes,2002,Lindsay Baker,UK,BBC Culture,,M
Moonrise Kingdom,Wes Anderson,2012,Lindsay Baker,UK,BBC Culture,pass,M
Lost in Translation,Sofia Coppola,2003,Lindsay Baker,UK,BBC Culture,,F
A Single Man,Tom Ford,2009,Lindsay Baker,UK,BBC Culture,nopass,M
Spirited Away,Hayao Miyazaki,2001,Lindsay Baker,UK,BBC Culture,pass,M
Toy Story 3,Lee Unkrich,2010,Lindsay Baker,UK,BBC Culture,pass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Lindsay Baker,UK,BBC Culture,nopass,M
I Am Love,Luca Guadagnino,2009,Lindsay Baker,UK,BBC Culture,pass,
Donnie Darko,Richard Kelly,2001,Lindsay Baker,UK,BBC Culture,pass,M
Inherent Vice,Paul Thomas Anderson,2014,Miriam Bale,US,Freelance film critic,nopass,M
Film socialisme,Jean-Luc Godard,2010,Miriam Bale,US,Freelance film critic,,M
A History of Violence,David Cronenberg,2005,Miriam Bale,US,Freelance film critic,pass,M
This Is the End,Evan Goldberg and Seth Rogen,2013,Miriam Bale,US,Freelance film critic,nopass,
Somewhere,Sofia Coppola,2010,Miriam Bale,US,Freelance film critic,pass,F
Holy Motors,Leos Carax,2012,Miriam Bale,US,Freelance film critic,nopass,
Almayer's Folly,Chantal Akerman,2011,Miriam Bale,US,Freelance film critic,,F
Inside Llewyn Davis,Joel and Ethan Coen,2013,Miriam Bale,US,Freelance film critic,nopass,M
The Story of Marie and Julien,Jacques Rivette,2003,Miriam Bale,US,Freelance film critic,,M
Bamboozled,Spike Lee,2000,Miriam Bale,US,Freelance film critic,,M
Boyhood,Richard Linklater,2014,Nicholas Barber,UK,BBC Culture,pass,M
Under the Skin,Jonathan Glazer,2013,Nicholas Barber,UK,BBC Culture,nopass,
Anomalisa,Duke Johnson and Charlie Kaufman,2015,Nicholas Barber,UK,BBC Culture,,
12 Years a Slave,Steve McQueen,2013,Nicholas Barber,UK,BBC Culture,pass,M
Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath and Conrad Vernon",2012,Nicholas Barber,UK,BBC Culture,nopass,
Another Year,Mike Leigh,2010,Nicholas Barber,UK,BBC Culture,pass,M
The Diving Bell and the Butterfly,Julian Schnabel,2007,Nicholas Barber,UK,BBC Culture,nopass,M
Children of Men,Alfonso Cuarón,2006,Nicholas Barber,UK,BBC Culture,pass,M
The Social Network,David Fincher,2010,Nicholas Barber,UK,BBC Culture,nopass,M
A Separation,Asghar Farhadi,2011,Nicholas Barber,UK,BBC Culture,pass,M
WALL-E,Andrew Stanton,2008,Diego Batlle,Argentina,La Nacion,nopass,M
In the Mood for Love,Wong Kar-wai,2000,Diego Batlle,Argentina,La Nacion,,M
Spirited Away,Hayao Miyazaki,2001,Diego Batlle,Argentina,La Nacion,pass,M
Boyhood,Richard Linklater,2014,Diego Batlle,Argentina,La Nacion,pass,M
The Son's Room,Nanni Moretti,2001,Diego Batlle,Argentina,La Nacion,,M
Extraordinary Stories,Mariano Llinás,2008,Diego Batlle,Argentina,La Nacion,,
Mulholland Drive,David Lynch,2001,Diego Batlle,Argentina,La Nacion,,M
The Social Network,David Fincher,2010,Diego Batlle,Argentina,La Nacion,nopass,M
Elephant,Gus Van Sant,2003,Diego Batlle,Argentina,La Nacion,pass,M
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Diego Batlle,Argentina,La Nacion,pass,M
Mulholland Drive,David Lynch,2001,NT Binh,France,Positif,,M
Talk to Her,Pedro Almodóvar,2002,NT Binh,France,Positif,,M
The Assassin,Hou Hsiao-hsien,2015,NT Binh,France,Positif,,M
Million Dollar Baby,Clint Eastwood,2004,NT Binh,France,Positif,pass,M
In the Mood for Love,Wong Kar-wai,2000,NT Binh,France,Positif,,M
Leviathan,Andrey Zvyagintsev,2014,NT Binh,France,Positif,pass,
A Touch of Sin,Jia Zhangke,2013,NT Binh,France,Positif,,
Distant,Nuri Bilge Ceylan,2002,NT Binh,France,Positif,,
The New World,Terrence Malick,2005,NT Binh,France,Positif,pass,M
A Prophet,Jacques Audiard,2009,NT Binh,France,Positif,,M
Timbuktu,Abderrahmane Sissako,2014,Lizelle Bisschoff,UK,University of Glasgow,,
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Lizelle Bisschoff,UK,University of Glasgow,pass,
Moolaadé,Ousmane Sembèène,2004,Lizelle Bisschoff,UK,University of Glasgow,,
A Separation,Asghar Farhadi,2011,Lizelle Bisschoff,UK,University of Glasgow,pass,M
The Secret in Their Eyes,Juan José Campanella,2009,Lizelle Bisschoff,UK,University of Glasgow,nopass,M
Oldboy,Park Chan-wook,2003,Lizelle Bisschoff,UK,University of Glasgow,nopass,
In the Mood for Love,Wong Kar-wai,2000,Lizelle Bisschoff,UK,University of Glasgow,,M
Fat Girl,Catherine Breillat,2001,Lizelle Bisschoff,UK,University of Glasgow,pass,F
The Orphanage,J. A. Bayona,2007,Lizelle Bisschoff,UK,University of Glasgow,pass,
The Hunt,Thomas Vinterberg,2012,Lizelle Bisschoff,UK,University of Glasgow,,M
Spring Breakers,Harmony Korine,2012,Christian Blauvelt,US,BBC Culture,pass,
My Winnipeg,Guy Maddin,2007,Christian Blauvelt,US,BBC Culture,,M
The Ghost Writer,Roman Polanski,2010,Christian Blauvelt,US,BBC Culture,nopass,M
Moulin Rouge!,Baz Luhrmann,2001,Christian Blauvelt,US,BBC Culture,pass,M
Star Wars: Episode III – Revenge of the Sith,George Lucas,2005,Christian Blauvelt,US,BBC Culture,,M
Manakamana,Pacho Velez and Stephanie Spray,2013,Christian Blauvelt,US,BBC Culture,,
The Curious Case of Benjamin Button,David Fincher,2008,Christian Blauvelt,US,BBC Culture,pass,M
"You, The Living",Roy Andersson,2007,Christian Blauvelt,US,BBC Culture,,M
Mother,Bong Joon-ho,2009,Christian Blauvelt,US,BBC Culture,,
A Serious Man,Joel and Ethan Coen,2009,Christian Blauvelt,US,BBC Culture,nopass,M
Moolaadé,Ousmane Sembène,2004,Mahen Bonetti,US,African Film Festival Inc,,
Timbuktu,Abderrahmane Sissako,2014,Mahen Bonetti,US,African Film Festival Inc,,
Cuba: An African Odyssey,Jihan El-Tahri,2007,Mahen Bonetti,US,African Film Festival Inc,,
"Sexe, gombo et beurre salé",Mahamat-Saleh Haroun,2008,Mahen Bonetti,US,African Film Festival Inc,,
Shoot the Messenger,Ngozi Onwurah,2006,Mahen Bonetti,US,African Film Festival Inc,,
Red Leaves,Bazi Gete,2014,Mahen Bonetti,US,African Film Festival Inc,,
The Colonial Misunderstanding,Jean-Marie Téno,2004,Mahen Bonetti,US,African Film Festival Inc,,
Restless City,Andrew Dosunmu,2011,Mahen Bonetti,US,African Film Festival Inc,,
Conversations on a Sunday Afternoon,Khalo Matabane,2005,Mahen Bonetti,US,African Film Festival Inc,,
Belle,Amma Asante,2013,Mahen Bonetti,US,African Film Festival Inc,pass,
Requiem for a Dream,Darren Aronofsky,2000,Andreas Borcholte,Germany,Spiegel Online,pass,M
Antichrist,Lars von Trier,2009,Andreas Borcholte,Germany,Spiegel Online,nopass,M
Children of Men,Alfonso Cuarón,2006,Andreas Borcholte,Germany,Spiegel Online,pass,M
The Child,Jean-Pierre and Luc Dardenne,2005,Andreas Borcholte,Germany,Spiegel Online,,
No Country For Old Men,Joel and Ethan Coen,2007,Andreas Borcholte,Germany,Spiegel Online,,M
Fish Tank,Andrea Arnold,2009,Andreas Borcholte,Germany,Spiegel Online,pass,
The Tree of Life,Terrence Malick,2011,Andreas Borcholte,Germany,Spiegel Online,nopass,M
Inception,Christopher Nolan,2010,Andreas Borcholte,Germany,Spiegel Online,pass,M
Kill Bill: Vol. 1,Quentin Tarantino,2003,Andreas Borcholte,Germany,Spiegel Online,pass,M
Irreversible,Gaspar Noé,2002,Andreas Borcholte,Germany,Spiegel Online,nopass,M
Amour,Michael Haneke,2012,Utpal Borpujari,India,Freelance film critic,pass,M
A Separation,Asghar Farhadi,2011,Utpal Borpujari,India,Freelance film critic,pass,M
In the Mood for Love,Wong Kar-wai,2000,Utpal Borpujari,India,Freelance film critic,,M
A Prophet,Jacques Audiard,2009,Utpal Borpujari,India,Freelance film critic,,M
Monsoon Wedding,Mira Nair,2001,Utpal Borpujari,India,Freelance film critic,pass,F
Son of Saul,László Nemes,2015,Utpal Borpujari,India,Freelance film critic,,
Thithi,Raam Reddy,2015,Utpal Borpujari,India,Freelance film critic,,
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Utpal Borpujari,India,Freelance film critic,pass,
No Man's Land,Danis Tanovic,2001,Utpal Borpujari,India,Freelance film critic,,
Waltz with Bashir,Ari Folman,2008,Utpal Borpujari,India,Freelance film critic,nopass,
In Praise of Love,Jean-Luc Godard,2001,Richard Brody,US,The New Yorker,,M
The Wolf of Wall Street,Martin Scorsese,2013,Richard Brody,US,The New Yorker,pass,M
The Last of the Unjust,Claude Lanzmann,2013,Richard Brody,US,The New Yorker,,
Like Someone In Love,Abbas Kiarostami,2012,Richard Brody,US,The New Yorker,,M
The Grand Budapest Hotel,Wes Anderson,2014,Richard Brody,US,The New Yorker,nopass,M
Butter on the Latch,Josephine Decker,2013,Richard Brody,US,The New Yorker,,
Heaven Knows What,Josh and Benny Safdie,2014,Richard Brody,US,The New Yorker,,
The Future,Miranda July,2011,Richard Brody,US,The New Yorker,pass,F
Holy Motors,Leos Carax,2012,Richard Brody,US,The New Yorker,nopass,
Coma,Sara Fattahi,2015,Richard Brody,US,The New Yorker,,
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Hannah Brown,Israel,Jerusalem Post,,
The Royal Tenenbaums,Wes Anderson,2001,Hannah Brown,Israel,Jerusalem Post,pass,M
No Country For Old Men,Joel and Ethan Coen,2007,Hannah Brown,Israel,Jerusalem Post,,M
Waltz with Bashir,Ari Folman,2008,Hannah Brown,Israel,Jerusalem Post,nopass,
The Matchmaker,Avi Nesher,2010,Hannah Brown,Israel,Jerusalem Post,,
Footnote,Joseph Cedar,2011,Hannah Brown,Israel,Jerusalem Post,nopass,
The Son,Jean-Pierre and Luc Dardenne,2002,Hannah Brown,Israel,Jerusalem Post,,
In the Mood for Love,Wong Kar-wai,2000,Hannah Brown,Israel,Jerusalem Post,,M
You Can Count On Me,Kenneth Lonergan,2000,Hannah Brown,Israel,Jerusalem Post,,M
Yossi & Jagger,Eytan Fox,2002,Hannah Brown,Israel,Jerusalem Post,nopass,
Mulholland Drive,David Lynch,2001,Luke Buckmaster,Australia,The Guardian/BBC Culture,,M
There Will Be Blood,Paul Thomas Anderson,2007,Luke Buckmaster,Australia,The Guardian/BBC Culture,nopass,M
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,Luke Buckmaster,Australia,The Guardian/BBC Culture,nopass,M
Spirited Away,Hayao Miyazaki,2001,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
Children of Men,Alfonso Cuarón,2006,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
In the Mood for Love,Wong Kar-wai,2000,Luke Buckmaster,Australia,The Guardian/BBC Culture,,M
The Babadook,Jennifer Kent,2014,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,
A Separation,Asghar Farhadi,2011,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
Caché,Michael Haneke,2005,Luke Buckmaster,Australia,The Guardian/BBC Culture,,M
Boyhood,Richard Linklater,2014,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
The White Ribbon,Michael Haneke,2009,Luciano Castillo,Cuba,Cinemateca de Cuba,,M
In the Mood for Love,Wong Kar-wai,2000,Luciano Castillo,Cuba,Cinemateca de Cuba,,M
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,Luciano Castillo,Cuba,Cinemateca de Cuba,,M
Melancholia,Lars von Trier,2011,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,M
Elephant,Gus Van Sant,2003,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,M
Russian Ark,Aleksandr Sokurov,2002,Luciano Castillo,Cuba,Cinemateca de Cuba,,M
City of God,Fernando Meirelles and Kátia Lund,2002,Luciano Castillo,Cuba,Cinemateca de Cuba,nopass,
A Prophet,Jacques Audiard,2009,Luciano Castillo,Cuba,Cinemateca de Cuba,,M
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Luciano Castillo,Cuba,Cinemateca de Cuba,,
Inside Out,Pete Docter,2015,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,
Inside Llewyn Davis,Joel and Ethan Coen,2013,Monica Castillo,US,New York Times Watching,nopass,M
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,Monica Castillo,US,New York Times Watching,pass,
Fish Tank,Andrea Arnold,2009,Monica Castillo,US,New York Times Watching,pass,
Pan's Labyrinth,Guillermo Del Toro,2006,Monica Castillo,US,New York Times Watching,,
In the Mood for Love,Wong Kar-wai,2000,Monica Castillo,US,New York Times Watching,,M
Spirited Away,Hayao Miyazaki,2001,Monica Castillo,US,New York Times Watching,pass,M
Mad Max: Fury Road,George Miller,2015,Monica Castillo,US,New York Times Watching,pass,M
Attack the Block,Joe Cornish,2011,Monica Castillo,US,New York Times Watching,pass,
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Monica Castillo,US,New York Times Watching,nopass,M
The Royal Tenenbaums,Wes Anderson,2001,Monica Castillo,US,New York Times Watching,pass,M
The Secret in Their Eyes,Juan José Campanella,2009,Samuel Castro,Colombia,El Colombiano,nopass,M
Before Sunset,Richard Linklater,2004,Samuel Castro,Colombia,El Colombiano,nopass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Samuel Castro,Colombia,El Colombiano,nopass,M
Ratatouille,Brad Bird and Jan Pinkava,2007,Samuel Castro,Colombia,El Colombiano,nopass,
Stories We Tell,Sarah Polley,2012,Samuel Castro,Colombia,El Colombiano,pass,
Pan's Labyrinth,Guillermo Del Toro,2006,Samuel Castro,Colombia,El Colombiano,,
Amores Perros,Alejandro González Iñárritu,2000,Samuel Castro,Colombia,El Colombiano,nopass,M
A Separation,Asghar Farhadi,2011,Samuel Castro,Colombia,El Colombiano,pass,M
Minority Report,Steven Spielberg,2002,Samuel Castro,Colombia,El Colombiano,nopass,M
Moulin Rouge!,Baz Luhrmann,2001,Samuel Castro,Colombia,El Colombiano,pass,M
Mulholland Drive,David Lynch,2001,Justin Chang,US,Los Angeles Times,,M
The Tree of Life,Terrence Malick,2011,Justin Chang,US,Los Angeles Times,nopass,M
In the Mood for Love,Wong Kar-wai,2000,Justin Chang,US,Los Angeles Times,,M
Boyhood,Richard Linklater,2014,Justin Chang,US,Los Angeles Times,pass,M
Secret Sunshine,Lee Chang-dong,2007,Justin Chang,US,Los Angeles Times,,
Zodiac,David Fincher,2007,Justin Chang,US,Los Angeles Times,nopass,M
The Dark Knight,Christopher Nolan,2008,Justin Chang,US,Los Angeles Times,pass,M
The Son,Jean-Pierre and Luc Dardenne,2002,Justin Chang,US,Los Angeles Times,,
Brokeback Mountain,Ang Lee,2005,Justin Chang,US,Los Angeles Times,nopass,M
35 Shots of Rum,Claire Denis,2008,Justin Chang,US,Los Angeles Times,pass,F
The Three Burials of Melquiades Estrada,Tommy Lee Jones,2005,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,
There Will Be Blood,Paul Thomas Anderson,2007,Enrico Chiesa,Senegal,AfricaFilms.TV,nopass,M
A Separation,Asghar Farhadi,2011,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,M
Birdman,Alejandro González Iñárritu,2014,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,M
The Blind Swordsman: Zatoichi,Takeshi Kitano,2003,Enrico Chiesa,Senegal,AfricaFilms.TV,nopass,M
Mommy,Xavier Dolan,2014,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,
Dancer in the Dark,Lars von Trier,2000,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,M
Tey,Alain Gomis,2012,Enrico Chiesa,Senegal,AfricaFilms.TV,,
Sweet Sixteen,Ken Loach,2002,Enrico Chiesa,Senegal,AfricaFilms.TV,nopass,M
Ezra,Newton I. Aduaka,2007,Enrico Chiesa,Senegal,AfricaFilms.TV,,
No Country For Old Men,Joel and Ethan Coen,2007,Cho Seongyong,South Korea,Freelance film critic,,M
Boyhood,Richard Linklater,2014,Cho Seongyong,South Korea,Freelance film critic,pass,M
Mulholland Drive,David Lynch,2001,Cho Seongyong,South Korea,Freelance film critic,,M
Almost Famous,Cameron Crowe,2000,Cho Seongyong,South Korea,Freelance film critic,pass,M
"Synecdoche, New York",Charlie Kaufman,2008,Cho Seongyong,South Korea,Freelance film critic,pass,
