movie,director,movie_year,critic,critic_country,critic_org,Bechdel_test,director_gender
My Winnipeg,Guy Maddin,2007,Christian Blauvelt,US,BBC Culture,,M
The Ghost Writer,Roman Polanski,2010,Christian Blauvelt,US,BBC Culture,nopass,M
Moulin Rouge!,Baz Luhrmann,2001,Christian Blauvelt,US,BBC Culture,pass,M
Star Wars: Episode III – Revenge of the Sith,George Lucas,2005,Christian Blauvelt,US,BBC Culture,nopass,M
Manakamana,Pacho Velez and Stephanie Spray,2013,Christian Blauvelt,US,BBC Culture,,Both
The Curious Case of Benjamin Button,David Fincher,2008,Christian Blauvelt,US,BBC Culture,pass,M
"You, The Living",Roy Andersson,2007,Christian Blauvelt,US,BBC Culture,,M
Mother,Bong Joon-ho,2009,Christian Blauvelt,US,BBC Culture,,M
A Serious Man,Joel and Ethan Coen,2009,Christian Blauvelt,US,BBC Culture,nopass,M
Moolaadé,Ousmane Sembène,2004,Mahen Bonetti,US,African Film Festival Inc,,M
Timbuktu,Abderrahmane Sissako,2014,Mahen Bonetti,US,African Film Festival Inc,nopass,M
Cuba: An African Odyssey,Jihan El-Tahri,2007,Mahen Bonetti,US,African Film Festival Inc,,F
"Sexe, gombo et beurre salé",Mahamat-Saleh Haroun,2008,Mahen Bonetti,US,African Film Festival Inc,,M
Shoot the Messenger,Ngozi Onwurah,2006,Mahen Bonetti,US,African Film Festival Inc,,F
Red Leaves,Bazi Gete,2014,Mahen Bonetti,US,African Film Festival Inc,,M
The Colonial Misunderstanding,Jean-Marie Téno,2004,Mahen Bonetti,US,African Film Festival Inc,,M
Restless City,Andrew Dosunmu,2011,Mahen Bonetti,US,African Film Festival Inc,,M
Conversations on a Sunday Afternoon,Khalo Matabane,2005,Mahen Bonetti,US,African Film Festival Inc,,M
Belle,Amma Asante,2013,Mahen Bonetti,US,African Film Festival Inc,pass,F
Requiem for a Dream,Darren Aronofsky,2000,Andreas Borcholte,Germany,Spiegel Online,pass,M
Antichrist,Lars von Trier,2009,Andreas Borcholte,Germany,Spiegel Online,nopass,M
Children of Men,Alfonso Cuarón,2006,Andreas Borcholte,Germany,Spiegel Online,pass,M
The Child,Jean-Pierre and Luc Dardenne,2005,Andreas Borcholte,Germany,Spiegel Online,,M
No Country For Old Men,Joel and Ethan Coen,2007,Andreas Borcholte,Germany,Spiegel Online,pass,M
Fish Tank,Andrea Arnold,2009,Andreas Borcholte,Germany,Spiegel Online,pass,F
The Tree of Life,Terrence Malick,2011,Andreas Borcholte,Germany,Spiegel Online,nopass,M
Inception,Christopher Nolan,2010,Andreas Borcholte,Germany,Spiegel Online,pass,M
Kill Bill: Vol. 1,Quentin Tarantino,2003,Andreas Borcholte,Germany,Spiegel Online,pass,M
Irreversible,Gaspar Noé,2002,Andreas Borcholte,Germany,Spiegel Online,nopass,M
Amour,Michael Haneke,2012,Utpal Borpujari,India,Freelance film critic,pass,M
A Separation,Asghar Farhadi,2011,Utpal Borpujari,India,Freelance film critic,pass,M
In the Mood for Love,Wong Kar-wai,2000,Utpal Borpujari,India,Freelance film critic,pass,M
A Prophet,Jacques Audiard,2009,Utpal Borpujari,India,Freelance film critic,nopass,M
Monsoon Wedding,Mira Nair,2001,Utpal Borpujari,India,Freelance film critic,pass,F
Son of Saul,László Nemes,2015,Utpal Borpujari,India,Freelance film critic,nopass,M
Thithi,Raam Reddy,2015,Utpal Borpujari,India,Freelance film critic,,M
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Utpal Borpujari,India,Freelance film critic,pass,M
No Man's Land,Danis Tanovic,2001,Utpal Borpujari,India,Freelance film critic,,M
Waltz with Bashir,Ari Folman,2008,Utpal Borpujari,India,Freelance film critic,nopass,M
In Praise of Love,Jean-Luc Godard,2001,Richard Brody,US,The New Yorker,,M
The Wolf of Wall Street,Martin Scorsese,2013,Richard Brody,US,The New Yorker,pass,M
The Last of the Unjust,Claude Lanzmann,2013,Richard Brody,US,The New Yorker,,M
Like Someone In Love,Abbas Kiarostami,2012,Richard Brody,US,The New Yorker,,M
The Grand Budapest Hotel,Wes Anderson,2014,Richard Brody,US,The New Yorker,nopass,M
Butter on the Latch,Josephine Decker,2013,Richard Brody,US,The New Yorker,,F
Heaven Knows What,Josh and Benny Safdie,2014,Richard Brody,US,The New Yorker,,M
The Future,Miranda July,2011,Richard Brody,US,The New Yorker,pass,F
Holy Motors,Leos Carax,2012,Richard Brody,US,The New Yorker,nopass,M
Coma,Sara Fattahi,2015,Richard Brody,US,The New Yorker,,F
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Hannah Brown,Israel,Jerusalem Post,pass,M
The Royal Tenenbaums,Wes Anderson,2001,Hannah Brown,Israel,Jerusalem Post,pass,M
No Country For Old Men,Joel and Ethan Coen,2007,Hannah Brown,Israel,Jerusalem Post,pass,M
Waltz with Bashir,Ari Folman,2008,Hannah Brown,Israel,Jerusalem Post,nopass,M
The Matchmaker,Avi Nesher,2010,Hannah Brown,Israel,Jerusalem Post,,M
Footnote,Joseph Cedar,2011,Hannah Brown,Israel,Jerusalem Post,nopass,M
The Son,Jean-Pierre and Luc Dardenne,2002,Hannah Brown,Israel,Jerusalem Post,,M
In the Mood for Love,Wong Kar-wai,2000,Hannah Brown,Israel,Jerusalem Post,pass,M
You Can Count On Me,Kenneth Lonergan,2000,Hannah Brown,Israel,Jerusalem Post,pass,M
Yossi & Jagger,Eytan Fox,2002,Hannah Brown,Israel,Jerusalem Post,nopass,M
Mulholland Drive,David Lynch,2001,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
There Will Be Blood,Paul Thomas Anderson,2007,Luke Buckmaster,Australia,The Guardian/BBC Culture,nopass,M
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,Luke Buckmaster,Australia,The Guardian/BBC Culture,nopass,M
Spirited Away,Hayao Miyazaki,2001,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
Children of Men,Alfonso Cuarón,2006,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
In the Mood for Love,Wong Kar-wai,2000,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
The Babadook,Jennifer Kent,2014,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,F
A Separation,Asghar Farhadi,2011,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
Caché,Michael Haneke,2005,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
Boyhood,Richard Linklater,2014,Luke Buckmaster,Australia,The Guardian/BBC Culture,pass,M
The White Ribbon,Michael Haneke,2009,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,M
In the Mood for Love,Wong Kar-wai,2000,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,M
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,Luciano Castillo,Cuba,Cinemateca de Cuba,nopass,M
Melancholia,Lars von Trier,2011,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,M
Elephant,Gus Van Sant,2003,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,M
Russian Ark,Aleksandr Sokurov,2002,Luciano Castillo,Cuba,Cinemateca de Cuba,,M
City of God,Fernando Meirelles and Kátia Lund,2002,Luciano Castillo,Cuba,Cinemateca de Cuba,nopass,Both
A Prophet,Jacques Audiard,2009,Luciano Castillo,Cuba,Cinemateca de Cuba,nopass,M
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,M
Inside Out,Pete Docter,2015,Luciano Castillo,Cuba,Cinemateca de Cuba,pass,M
Inside Llewyn Davis,Joel and Ethan Coen,2013,Monica Castillo,US,New York Times Watching,nopass,M
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,Monica Castillo,US,New York Times Watching,pass,Both
Fish Tank,Andrea Arnold,2009,Monica Castillo,US,New York Times Watching,pass,F
Pan's Labyrinth,Guillermo Del Toro,2006,Monica Castillo,US,New York Times Watching,pass,M
In the Mood for Love,Wong Kar-wai,2000,Monica Castillo,US,New York Times Watching,pass,M
Spirited Away,Hayao Miyazaki,2001,Monica Castillo,US,New York Times Watching,pass,M
Mad Max: Fury Road,George Miller,2015,Monica Castillo,US,New York Times Watching,pass,M
Attack the Block,Joe Cornish,2011,Monica Castillo,US,New York Times Watching,pass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Monica Castillo,US,New York Times Watching,nopass,M
The Royal Tenenbaums,Wes Anderson,2001,Monica Castillo,US,New York Times Watching,pass,M
The Secret in Their Eyes,Juan José Campanella,2009,Samuel Castro,Colombia,El Colombiano,nopass,M
Before Sunset,Richard Linklater,2004,Samuel Castro,Colombia,El Colombiano,nopass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Samuel Castro,Colombia,El Colombiano,nopass,M
Ratatouille,Brad Bird and Jan Pinkava,2007,Samuel Castro,Colombia,El Colombiano,nopass,M
Stories We Tell,Sarah Polley,2012,Samuel Castro,Colombia,El Colombiano,pass,F
Pan's Labyrinth,Guillermo Del Toro,2006,Samuel Castro,Colombia,El Colombiano,pass,M
Amores Perros,Alejandro González Iñárritu,2000,Samuel Castro,Colombia,El Colombiano,nopass,M
A Separation,Asghar Farhadi,2011,Samuel Castro,Colombia,El Colombiano,pass,M
Minority Report,Steven Spielberg,2002,Samuel Castro,Colombia,El Colombiano,nopass,M
Moulin Rouge!,Baz Luhrmann,2001,Samuel Castro,Colombia,El Colombiano,pass,M
Mulholland Drive,David Lynch,2001,Justin Chang,US,Los Angeles Times,pass,M
The Tree of Life,Terrence Malick,2011,Justin Chang,US,Los Angeles Times,nopass,M
In the Mood for Love,Wong Kar-wai,2000,Justin Chang,US,Los Angeles Times,pass,M
Boyhood,Richard Linklater,2014,Justin Chang,US,Los Angeles Times,pass,M
Secret Sunshine,Lee Chang-dong,2007,Justin Chang,US,Los Angeles Times,,M
Zodiac,David Fincher,2007,Justin Chang,US,Los Angeles Times,nopass,M
The Dark Knight,Christopher Nolan,2008,Justin Chang,US,Los Angeles Times,pass,M
The Son,Jean-Pierre and Luc Dardenne,2002,Justin Chang,US,Los Angeles Times,,M
Brokeback Mountain,Ang Lee,2005,Justin Chang,US,Los Angeles Times,nopass,M
35 Shots of Rum,Claire Denis,2008,Justin Chang,US,Los Angeles Times,pass,F
The Three Burials of Melquiades Estrada,Tommy Lee Jones,2005,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,M
There Will Be Blood,Paul Thomas Anderson,2007,Enrico Chiesa,Senegal,AfricaFilms.TV,nopass,M
A Separation,Asghar Farhadi,2011,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,M
Birdman,Alejandro González Iñárritu,2014,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,M
The Blind Swordsman: Zatoichi,Takeshi Kitano,2003,Enrico Chiesa,Senegal,AfricaFilms.TV,nopass,M
Mommy,Xavier Dolan,2014,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,M
Dancer in the Dark,Lars von Trier,2000,Enrico Chiesa,Senegal,AfricaFilms.TV,pass,M
Tey,Alain Gomis,2012,Enrico Chiesa,Senegal,AfricaFilms.TV,,M
Sweet Sixteen,Ken Loach,2002,Enrico Chiesa,Senegal,AfricaFilms.TV,nopass,M
Ezra,Newton I. Aduaka,2007,Enrico Chiesa,Senegal,AfricaFilms.TV,,M
